,health_region,latitude,longitude,date_reported,count
11329,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/05 ,15
7224,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/05 ,18
3229,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/05 ,2
2590,Fraser,49.50523412520022,-122.004814371323,2020/03/06 ,10
3603,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/06 ,4
11330,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/06 ,21
235,Brant County Health Unit,43.120346292365504,-80.2953888130644,2020/03/06 ,1
1570,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/06 ,4
2969,Grey Bruce Health Unit,44.408278964943,-81.00861060701341,2020/03/06 ,1
10319,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/06 ,12
6064,Montérégie,45.4401754931661,-73.3255910933247,2020/03/06 ,1
6317,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/06 ,1
395,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/06 ,1
10062,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/06 ,59
3230,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/06 ,3
9852,Sudbury & District Health Unit,47.8465144535024,-83.047165707,2020/03/06 ,2
7225,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/06 ,23
10687,Wellington-Dufferin-Guelph Public Health,43.853641543071014,-80.3720849799467,2020/03/06 ,3
4399,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/06 ,2
8402,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/06 ,10
7709,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/06 ,17
1158,Chatham-Kent Health Unit,42.4192532527263,-82.12808769432559,2020/03/07 ,1
9031,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/07 ,7
10063,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/07 ,67
7226,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/07 ,27
9853,Sudbury & District Health Unit,47.8465144535024,-83.047165707,2020/03/07 ,3
10908,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/07 ,4
10320,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/07 ,13
3360,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/07 ,4
3604,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/07 ,6
3905,Huron Perth District Health Unit,43.6005140652761,-81.2814845283638,2020/03/07 ,1
1571,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/07 ,6
7710,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/07 ,22
11331,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/07 ,25
8403,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/07 ,11
2970,Grey Bruce Health Unit,44.408278964943,-81.00861060701341,2020/03/08 ,4
2591,Fraser,49.50523412520022,-122.004814371323,2020/03/08 ,13
1572,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/08 ,7
10064,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/08 ,77
3361,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/08 ,8
7711,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/08 ,27
236,Brant County Health Unit,43.120346292365504,-80.2953888130644,2020/03/08 ,3
8404,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/08 ,14
6065,Montérégie,45.4401754931661,-73.3255910933247,2020/03/08 ,2
83,Algoma Public Health Unit,47.5967892953798,-84.4124686269621,2020/03/08 ,1
5594,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/08 ,5
7227,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/08 ,36
7963,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/08 ,4
9032,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/08 ,8
10909,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/08 ,5
11332,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/08 ,30
3231,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/08 ,4
6318,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/08 ,2
8405,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/09 ,17
7712,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/09 ,34
3362,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/09 ,11
2028,Edmonton Zone,53.5729702998736,-113.539688518144,2020/03/09 ,3
6319,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/09 ,6
6692,North Bay Parry Sound District Health Unit,46.0853843053216,-79.6868232876775,2020/03/09 ,1
396,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/09 ,4
8060,Porcupine Health Unit,51.853103224034,-83.5157764345347,2020/03/09 ,2
5820,Montréal,45.5420718322781,-73.6056683339095,2020/03/09 ,2
7228,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/09 ,45
10065,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/09 ,95
2971,Grey Bruce Health Unit,44.408278964943,-81.00861060701341,2020/03/09 ,5
10321,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/09 ,16
9033,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/09 ,11
11333,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/09 ,35
1573,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/09 ,9
5595,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/09 ,8
3232,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/09 ,5
7964,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/09 ,6
10910,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/09 ,6
1861,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/09 ,5
2592,Fraser,49.50523412520022,-122.004814371323,2020/03/09 ,14
6995,Northern,56.9556933873242,-126.206054779952,2020/03/09 ,490
3605,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/09 ,9
8645,Renfrew County and District Health Unit,45.8063337130374,-77.7769517974534,2020/03/10 ,1
4400,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/10 ,4
7229,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/10 ,52
9034,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/10 ,14
3233,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/10 ,8
3082,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/03/10 ,3
6320,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/10 ,7
10557,Vancouver Island,49.6514791757386,-125.735773786798,2020/03/10 ,1
8406,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/10 ,19
11334,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/10 ,42
5596,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/10 ,13
3363,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/10 ,22
10911,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/10 ,9
3906,Huron Perth District Health Unit,43.6005140652761,-81.2814845283638,2020/03/10 ,2
7965,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/10 ,7
7713,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/10 ,43
397,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/10 ,10
9708,Southwestern Public Health,42.9893301339841,-80.78600767813751,2020/03/10 ,3
10066,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/10 ,124
2029,Edmonton Zone,53.5729702998736,-113.539688518144,2020/03/10 ,6
1862,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/10 ,6
3606,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/10 ,19
1574,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/10 ,16
6996,Northern,56.9556933873242,-126.206054779952,2020/03/10 ,491
2593,Fraser,49.50523412520022,-122.004814371323,2020/03/10 ,19
10322,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/10 ,20
4295,"Kingston, Frontenac and Lennox & Addington Public Health",44.6767544337525,-76.8842542359787,2020/03/11 ,3
3083,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/03/11 ,5
1863,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/11 ,7
997,Central Zone,52.61788723717071,-111.77504425497,2020/03/11 ,1
2594,Fraser,49.50523412520022,-122.004814371323,2020/03/11 ,27
3234,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/11 ,11
237,Brant County Health Unit,43.120346292365504,-80.2953888130644,2020/03/11 ,4
11335,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/11 ,53
3607,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/11 ,22
5257,"Leeds, Grenville and Lanark District Health Unit",44.86378243852969,-76.11805843581192,2020/03/11 ,2
5597,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/11 ,16
7714,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/11 ,49
8407,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/11 ,26
1575,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/11 ,23
5387,Mauricie,47.50931561703021,-73.5153947499276,2020/03/11 ,1
10323,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/11 ,31
4006,Interior,50.9405253201888,-119.73621864343201,2020/03/11 ,2
5821,Montréal,45.5420718322781,-73.6056683339095,2020/03/11 ,4
3846,Hastings and Prince Edward Counties Health Unit,44.63116713737609,-77.551860572946,2020/03/11 ,2
4401,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/11 ,5
10067,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/11 ,152
6321,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/11 ,13
7230,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/11 ,61
10688,Wellington-Dufferin-Guelph Public Health,43.853641543071014,-80.3720849799467,2020/03/11 ,6
2030,Edmonton Zone,53.5729702998736,-113.539688518144,2020/03/11 ,7
9854,Sudbury & District Health Unit,47.8465144535024,-83.047165707,2020/03/11 ,4
3364,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/11 ,28
398,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/11 ,16
9035,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/11 ,15
399,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/12 ,18
6066,Montérégie,45.4401754931661,-73.3255910933247,2020/03/12 ,4
1303,Chaudière-Appalaches,46.491200690156404,-70.7477280752077,2020/03/12 ,1
3847,Hastings and Prince Edward Counties Health Unit,44.63116713737609,-77.551860572946,2020/03/12 ,3
8861,Saskatoon,52.0415603863704,-105.573529856825,2020/03/12 ,1
3235,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/12 ,14
7135,Northwestern Health Unit,51.4948088893784,-92.55345583253307,2020/03/12 ,1
2595,Fraser,49.50523412520022,-122.004814371323,2020/03/12 ,31
7231,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/12 ,75
6322,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/12 ,17
11596,Zone 1 (Moncton area),46.184103044737796,-64.8672842784594,2020/03/12 ,1
8408,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/12 ,30
3084,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/03/12 ,6
3608,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/12 ,26
9036,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/12 ,16
11336,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/12 ,66
10912,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/12 ,10
2268,Estrie,45.427844381434,-71.8210439386672,2020/03/12 ,2
1576,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/12 ,29
8061,Porcupine Health Unit,51.853103224034,-83.5157764345347,2020/03/12 ,4
11154,Winnipeg,49.8947996853331,-97.1409755212858,2020/03/12 ,1
4296,"Kingston, Frontenac and Lennox & Addington Public Health",44.6767544337525,-76.8842542359787,2020/03/12 ,5
10324,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/12 ,39
3365,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/12 ,36
5822,Montréal,45.5420718322781,-73.6056683339095,2020/03/12 ,7
4402,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/12 ,6
5598,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/12 ,20
10689,Wellington-Dufferin-Guelph Public Health,43.853641543071014,-80.3720849799467,2020/03/12 ,7
10068,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/12 ,191
4783,Laurentides,46.6452702894389,-74.9739693177174,2020/03/12 ,2
238,Brant County Health Unit,43.120346292365504,-80.2953888130644,2020/03/12 ,5
9709,Southwestern Public Health,42.9893301339841,-80.78600767813751,2020/03/12 ,4
7715,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/12 ,66
1159,Chatham-Kent Health Unit,42.4192532527263,-82.12808769432559,2020/03/13 ,2
400,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/13 ,25
8062,Porcupine Health Unit,51.853103224034,-83.5157764345347,2020/03/13 ,6
9952,Thunder Bay District Health Unit,52.3972470879767,-88.53140488204839,2020/03/13 ,2
10069,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/13 ,234
2031,Edmonton Zone,53.5729702998736,-113.539688518144,2020/03/13 ,8
3609,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/13 ,32
6323,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/13 ,23
3366,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/13 ,39
6693,North Bay Parry Sound District Health Unit,46.0853843053216,-79.6868232876775,2020/03/13 ,2
9037,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/13 ,19
7232,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/13 ,97
4403,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/13 ,10
3848,Hastings and Prince Edward Counties Health Unit,44.63116713737609,-77.551860572946,2020/03/13 ,4
10558,Vancouver Island,49.6514791757386,-125.735773786798,2020/03/13 ,3
2972,Grey Bruce Health Unit,44.408278964943,-81.00861060701341,2020/03/13 ,6
11155,Winnipeg,49.8947996853331,-97.1409755212858,2020/03/13 ,4
2596,Fraser,49.50523412520022,-122.004814371323,2020/03/13 ,35
10325,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/13 ,55
9710,Southwestern Public Health,42.9893301339841,-80.78600767813751,2020/03/13 ,5
239,Brant County Health Unit,43.120346292365504,-80.2953888130644,2020/03/13 ,8
7716,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/13 ,77
3236,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/13 ,16
5258,"Leeds, Grenville and Lanark District Health Unit",44.86378243852969,-76.11805843581192,2020/03/13 ,3
11337,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/13 ,85
4007,Interior,50.9405253201888,-119.73621864343201,2020/03/13 ,5
10913,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/13 ,14
5599,Middlesex-London Health Unit,42.9957155911644,-81.4569831975843,2020/03/13 ,23
8862,Saskatoon,52.0415603863704,-105.573529856825,2020/03/13 ,2
1577,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/13 ,30
8409,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/13 ,37
1864,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/13 ,8
3085,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/03/13 ,11
4297,"Kingston, Frontenac and Lennox & Addington Public Health",44.6767544337525,-76.8842542359787,2020/03/13 ,6
7966,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/13 ,9
10559,Vancouver Island,49.6514791757386,-125.735773786798,2020/03/14 ,5
10326,Vancouver Coastal,50.474624222847005,-124.057915271406,2020/03/14 ,62
8410,"Region of Waterloo, Public Health",43.4628358316936,-80.538675714985,2020/03/14 ,44
2269,Estrie,45.427844381434,-71.8210439386672,2020/03/14 ,3
5259,"Leeds, Grenville and Lanark District Health Unit",44.86378243852969,-76.11805843581192,2020/03/14 ,5
6067,Montérégie,45.4401754931661,-73.3255910933247,2020/03/14 ,7
9038,Simcoe Muskoka District Health Unit,44.7777546278497,-79.54577338792849,2020/03/14 ,20
10070,Toronto Public Health,43.7258448177115,-79.38955775264292,2020/03/14 ,284
4393,Labrador-Grenfell,53.35616550944179,-61.1866959820846,2020/03/14 ,1
2032,Edmonton Zone,53.5729702998736,-113.539688518144,2020/03/14 ,14
8063,Porcupine Health Unit,51.853103224034,-83.5157764345347,2020/03/14 ,7
7233,Ottawa Public Health,45.179578394671296,-75.79995194779009,2020/03/14 ,115
1865,Eastern Ontario Health Unit,45.2730604989199,-74.9525787332565,2020/03/14 ,9
6324,Niagara Region Public Health Department,43.045445996685,-79.31367035851301,2020/03/14 ,28
2597,Fraser,49.50523412520022,-122.004814371323,2020/03/14 ,37
7717,Peel Public Health,43.761613367985795,-79.8135709174832,2020/03/14 ,86
10914,Windsor-Essex County Health Unit,42.15642327246579,-82.7775325262376,2020/03/14 ,15
4008,Interior,50.9405253201888,-119.73621864343201,2020/03/14 ,6
11597,Zone 1 (Moncton area),46.184103044737796,-64.8672842784594,2020/03/14 ,2
3907,Huron Perth District Health Unit,43.6005140652761,-81.2814845283638,2020/03/14 ,3
3610,Hamilton Public Health Services,43.253243134117405,-79.9584634171255,2020/03/14 ,38
7967,Peterborough Public Health,44.5366772660357,-78.2123316102003,2020/03/14 ,11
3367,Halton Region Health Department,43.5120970944726,-79.89050808662621,2020/03/14 ,46
4404,Lambton Public Health,42.8862751323789,-82.098372496214,2020/03/14 ,12
5823,Montréal,45.5420718322781,-73.6056683339095,2020/03/14 ,9
2475,Far North,57.203311469274595,-105.958652968581,2020/03/14 ,1
3086,Haldimand-Norfolk Health Unit,42.8544467138721,-80.178035377337,2020/03/14 ,13
1578,Durham Region Health Department,44.035149668883,-78.8824982293323,2020/03/14 ,36
11338,York Region Public Health Services,44.0749766386361,-79.42821218354659,2020/03/14 ,99
3237,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.671237943179996,-78.8972219188295,2020/03/14 ,19
401,Calgary Zone,50.9884145086295,-114.283168450939,2020/03/14 ,38
8240,Prince Edward Island,46.255707480729505,-63.1327337567033,2020/03/14 ,1
